title,salary,company_name,company_rating,job_type
Data Scientist,"£60,000 - £95,000 a year",MBN Recruitment Solutions,Hybrid remote in Edinburgh,+1 location
Data Scientist,"Full-time
+1",Idex,Nan,London
Data Scientist - FILLED,Full-time,Cievert,Nan,London NE8
Senior Data Scientist - Darwin Insurance,"£50,694 - £54,174 a year",Direct Line Group,3.3,Bromley
Statistician/Data Scientist,"Full-time
+2",Intuitive Surgical,Nan,Oxford
Data Science Health Intern,"£31,653 - £34,876 a year",Elsevier,3.8,Remote
Research Scientist – Machine Learning and Statistical Genomics,"Part-time
+1",University of Oxford,4.3,Oxford OX3
Senior Data Scientist,Monday to Friday,Xcede,3.4,London
Data Scientist,Part-time,Star Actuarial Futures,Nan,Hybrid remote in London
Research Data Scientist/Analyst,Full-time,The CMB Group,3.7,Brentwood
Data Scientist,"£45,737 - £54,421 a year",Datatech Analytics,Hybrid remote in Bristol,+2 locations
Senior Data Scientist - NLP,Full-time,Zopa Limited,3.3,Hybrid remote in London
Decision Scientist,"£70,000 - £80,000 a year",Datasource,Nan,Bristol
Data Scientist,Permanent,Morgan McKinley,3.7,London
Senior Data Scientist,"£60,000 - £70,000 a year",Domestic & General (D&G),2.9,Wimbledon
Data Scientist (Mobile Games),Permanent,Z3 Bros,Nan,London SE1
Data Scientist,Full-time,Kadence,Nan,Hybrid remote in Belfast BT1
Data Scientist,Permanent,Element Materials Technology,3.1,London WC2E
Analytics & Digital Data Scientist,Full-time,Jaguar Land Rover,3.6,Hybrid remote in Gaydon
Researcher in Medical Statistics/Data Science/Epidemiology,"£28,407 - £34,581 a year",University of Oxford,4.3,Oxford OX2
DATA SCIENCE CONSULTANT LONDON,Full-time,managementsolutions,Nan,London
Microsoft Research@198 Residency Program – Deep Learning /Generative AI Researcher,Full-time,Microsoft,4.2,Cambridge
Senior Data Scientist,Monday to Friday,Arm,4.1,Hybrid remote in Cambridge
Senior Data Scientist/Developer,Full-time,Sky,3.4,Hybrid remote in London
SENIOR DATA SCIENTIST,Full-time,Bangura Solutions,Remote in Manchester,+1 location
Data Scientist,Full-time,Yolk Recruitment,4.3,Bristol
Data Scientist,"£60,001 - £70,000 a year",Gazelle Global Consulting,4.0,London
Principal Data Scientist (GG13),Permanent,QinetiQ,3.7,Malvern
Customer Data Scientist,"£80,000 - £100,000 a year",Flexciton,Nan,Hybrid remote in London N1
Data Scientist,Permanent,Collins Aerospace,3.6,Wolverhampton
"2023 Applied Science Internship - Machine Learning, Deep Learning, Applied Mathematics/Statistics",Full-time,Amazon EU SARL (UK Branch),3.5,Hybrid remote in London
"Staff Data Scientist (Research Scientist), AI Lab",Full-time,The Trade Desk,Nan,London
Data Scientists | Data Analysts | Data Engineers,"£35,308 - £36,333 a year",Enna,Hybrid remote in London,+1 location
Data Science Manager,"Full-time
+2","Zipcar, Inc.",3.4,Boston
Machine Learning Scientist - NLP / LLM - Vice President,"£80,000 - £120,000 a year","JPMorgan Chase Bank, N.A.",4.1,London
Animal Data Scientist Higher Scientific Officer,Permanent,The Smartlist,5.0,Belfast
Research Associate in Data Science and Analysis (2 Posts available),Permanent,The University of Manchester,4.3,Hybrid remote in Manchester M13
Senior Data Scientist,"Full-time
+1",Tessian,Nan,Remote in London
Brand Health Tracking - Data Scientist,"£37,000 - £55,000 a year",Ipsos,3.8,Hybrid remote in London
Machine Learning Bioinformatician,Permanent,Oxford Nanopore Technologies,Nan,Oxfordshire
Data Scientist,Permanent,Emerald Group,3.0,Birmingham
Principal Clinical Data Scientist South Africa or UK,"£45,000 - £60,000 a year",Syneos Health Clinical,3.6,Remote
Principal Data Scientist - 12 Month FTC,Permanent,Sky,3.4,Hybrid remote in Osterley
Data Scientist,"£60,000 - £65,000 a year",Robert Walters,3.7,London
Data Science Lead,Permanent,IAG Loyalty,Nan,Hybrid remote in London
Data Analytics Specialist,"Full-time
+1",Acteon Group Limited,Nan,Remote in London
Machine Learning Researcher,"£35,308 - £43,155 a year",Insilico Medicine,Nan,Remote
Data Science & NLP Researcher KTP Associate,Fixed term contract,"City, University of London",4.1,Hybrid remote in London
Junior Data Science Engineer Apprentice,Full-time,ESTIO TRAINING,3.5,Remote in London
Insights Data Scientist,"£65,000 - £75,000 a year",YouView,Nan,Hybrid remote in London E1
Machine Learning Engineer,Permanent,Waymo,Nan,Oxford
Data Science Manager,Permanent,Imperial Brands,4.0,Bristol
Data Scientist,Permanent,Ashdown Group,4.6,Hybrid remote in West London
Data Scientist/Machine Learning/Modelling/Algorith,Full-time,re&m,Nan,East of England
Staff Data Scientist,Full-time,bp,3.8,Remote in London
Data Scientist - Manchester,Monday to Friday,Nexus Recruitment,Nan,Manchester
Data Science Lead,Full-time,Whitbread,3.4,Hybrid remote in Dunstable LU5
Lead Data Scientist,"£26,000 - £50,000 a year",Zopa Limited,3.3,Hybrid remote in London
Data Scientist - Machine Learning,"Full-time
+1",Oho Group,Nan,Hybrid remote in London
Developer/Data Scientist,"Monday to Friday
+1",Capita,3.1,HMS Collingwood
Data Scientist - Machine Learning,Full-time,Sanderson Recruitment Plc,4.4,Remote in London
Applied Machine Learning Scientist,"Full-time
+1",Thomson Reuters,3.9,Hybrid remote in London E14
Data Scientist – Pricing/forecasting,"£32,880 - £34,011 a year",Harnham,4.6,London
Senior Research Associate - Data Scientist,Permanent,University of Bristol,4.2,Bristol BS8
Data Scientist - Commercial & Marketing Analytics,"£35,308 - £43,155 a year",Michael Page,3.7,Birmingham
Data Scientist,Fixed term contract,Metrica Recruitment,Nan,London
Data Scientist,"Full-time
+1",Harrington Starr,Nan,London
Data Scientist,"Full-time
+1",Atos,3.5,London WC1V
AI Research Lead,Permanent,Secret Intelligence Service,Nan,London
Account Development Executive - AI Software,Full-time,Hewlett Packard Enterprise,3.8,Winnersh RG41
Data & AI Ethics Product Owner,"Full-time
+1",Lloyds Banking Group,3.7,Bristol
Head of Data Science,"£40,745 - £41,931 a year",Xcede,3.4,Hybrid remote in Leeds
Data Scientist – Pricing – Contract,"Full-time
+1",Harnham,4.6,London
"Senior Data Scientist, Connected TV","£20,000 a year",The Trade Desk,Nan,London
Research Assistant/Research Associate* - Applied Statistician/Medical Statistician/Health Data Scientist/Statistical Epidemiologist x 3 (Fixed Term),"Full-time
+1",University of Cambridge,4.1,Cambridge
Data Scientist / Media Effectiveness Specialist,"£90,000 - £95,000 a year",Impression Digital,Nan,Hybrid remote in London SE1
Data scientist / Developer,Full-time,Elton Technologies,Nan,London
Sr Applied Data Scientist,"£85,000 a year",Current Job Openings at Revionics,Nan,Remote in London
Decision Scientist Lead,Permanent,Monzo,3.7,Remote in London
"Consultant - Manager, Data Science and Machine Learning, Defence and Security, SAMA","£45,000 - £75,000 a year",Deloitte,3.9,Hybrid remote in Bristol
Data Scientist,Permanent,Platform Recruitment,Nan,Oxford
AI Software Seller,"£75,000 - £85,000 a year",Hewlett Packard Enterprise,3.8,Winnersh RG41
"Associate, Data & Analytics, Assurance, Belfast","Full-time
+1",EY,3.9,Hybrid remote in Belfast BT2
Senior Data Scientist,"£60,000 - £70,000 a year",Artefact.com,Nan,London
Life Actuary Data Scientist,Permanent,Opus Recruitment Solutions,4.6,Remote in London
Data Science Engineer,Permanent,Cubica,3.2,Hybrid remote in Woking
Machine Learning Research Engineer Intern,"£50,000 - £65,000 a year",Jenoptik AG,3.2,Camberley
Machine Learning Research Scientist (Canada),Permanent,Insilico Medicine,Nan,Remote
"Manager, Data Analytics","Up to £60,000 a year",Optimizely,Nan,Remote in London SE1
"Research Scientist, NLP",Full-time,Meta,4.1,London
"Chemist/Materials Scientist, Applied Science",£700 - £800 a month,Science Group,4.0,Epsom
SENIOR DATA SCIENTIST,Full-time,International Tennis Federation,3.8,Hybrid remote in South West London
Senior Data Scientist,"£70,000 - £90,000 a year",West Midlands Police,3.6,West Midlands
Reader/Professor with appointed office role as Head of Department – Applied Mathematics and Data Science,Permanent,Aston University,4.4,Birmingham
AI-Quant - Junior,"£40,745 - £45,737 a year",Crypton Partner Management,Nan,London W1D
Senior Machine Learning Researcher,"Full-time
+1",WiseTech Global,Nan,London
Senior Data Scientist,"£55,000 - £70,000 a year",Stantec,3.6,Warrington
Lecturer in Mathematics of Environmental Data Science,Permanent,University of Reading,4.3,Reading RG6
Senior Data Scientist,"£50,000 - £100,000 a year",Harnham,4.6,London
Defence Data Scientist,Full-time,Metrica Recruitment,Nan,South West
Senior Associate Applied AI - Applied Innovation of AI (AI2),"£100,000 - £140,000 a year","JPMorgan Chase Bank, N.A.",4.1,London
Analytics Manager - Retail,"£52,960 a year",QuantSpark,Nan,Hybrid remote in London SE1
CMA 1908 Director of Data Science,Full-time,Competition & Markets Authority,3.7,Hybrid remote in London
"Senior Data Scientist, Operations","£67,896 - £84,870 a year",Monzo,3.7,Remote in London
Senior Data Scientist,Full-time,Chubb INA Holdings Inc.,3.7,London
Data Analyst (ML & NLP),"£120,000 - £125,000 a year",FXC Intelligence,Nan,Remote in London
Data Scientist Python Software - London,Permanent,Nexus Recruitment,Nan,London
Lead Data Scientist,£400 - £550 a week,M&G plc,4.0,Edinburgh
Fraud Data Scientist,Full-time,Harnham,4.6,London
Senior Data Science Engineer,"£28,929 - £33,348 a year",Hippo Digital Limited,Hybrid remote in London,+5 locations
"Senior Data Scientist (Research Scientist), AI Lab","Full-time
+2",The Trade Desk,Nan,London
Data Scientist Lead (F/M/X),"£35,000 - £43,000 a year",Mars,3.8,London W1D
Generative AI engineer,"£100,000 - £140,000 a year",GSK,4.1,Middlesex
"Director, Data & Analytics, Merchant Services",Permanent,Lloyds Banking Group,3.7,Hybrid remote in London
2x Senior Data Analysts - Strategy Cluster,Full-time,Cabinet Office,4.0,Glasgow G2
Research Fellow in Health Data Science/ Medical Statistics /Epidemiologist,"£1,000 a month",London School of Hygiene & Tropical Medicine,4.5,London
Machine Learning Research Engineer,Up to £675 a month,Evolution Artificial Intelligence,Nan,Remote
Quantitative Researcher (Data Science/Machine Learning/Mathematical Modelling),Fixed term contract,G-Research,4.0,London
"Senior Data Scientist, Marketing",Internship,Monzo,3.7,Remote in London
Senior / Lead Data Scientist,Full-time,Millennium Management LLC,Nan,London
Microsoft Research Residency Program – Multi-Modal Deep Learning Researcher,Monday to Friday,Microsoft,4.2,Cambridge
"Applied AI/ML Lead, Vice President","£58,659 - £63,819 a year","JPMorgan Chase Bank, N.A.",4.1,London
Senior Data Scientist,"£54,421 - £97,869 a year",Mars,3.8,London W1D
Head of Public Bodies Data & Analysis,Full-time,Cabinet Office,4.0,Glasgow G2
Technical Architect - Data Science,"£45,585 - £56,021 a year",TESTQ Technologies,Nan,Leicester
Brand Health Tracking - Senior Data Scientist,Full-time,Ipsos,3.8,Remote in London
Lead Economist / Data Scientist,"£65,000 - £80,000 a year",Financial Conduct Authority,4.0,Hybrid remote in London
SENIOR RESEARCH ASSOCIATE IN CANCER DATA SCIENCE,Permanent,University of Bristol,4.2,Bristol BS8
Machine Learning Researcher,"£40,000 - £45,000 a year",G-Research,4.0,London
Research Data Scientist,Full-time,Metrica Recruitment,Nan,London
Research Fellow in Mental Health Data Science,"Full-time
+1",University College London,4.1,London
Data Science Engineer,"£77,500 - £88,500 a year",Roke Manor Research Limited,3.2,Hybrid remote in Woking
Data Scientist | Telecoms Powerhouse.,"Full-time
+1",Nicholson Glover Consulting,Nan,London
AI/ML Engineer - Applied AI,"£94,339 - £107,900 a year",GSK,4.1,London N1C
Data Science Personalisation Manager,"Full-time
+2",ASDA,3.3,Hybrid remote in Leeds LS11
Data Scientist/ Machine Learning,Part-time,re&m,Nan,London
Technology Specialist - Machine Learning (ML)..,Full-time,Microsoft,4.2,London
Big Data Engineer,"Up to £60,000 a year",BT,3.7,Reading
Data Analysis and Machine Learning Specialist,£350 - £500 a day,Expleo,3.1,Sunderland
Data Scientist / Life Actuary,Full-time,Be-IT Resourcing,Nan,Remote
Data Scientist - R& Python,Full-time,Metrica Recruitment,Nan,West London
Data Science Lead,"£40,000 - £48,000 a year",Roke Manor Research Limited,3.2,Manchester
Senior Data Scientist,Permanent,Ascential,3.3,London
Customer Data Scientist,"£56,001 - £80,640 a year",Metrica Recruitment,Nan,West London
Research Associate -Health Service Research and Health Data Science (Fixed Term),Permanent,University of Cambridge,4.1,Hybrid remote in Cambridge
Senior Data Scientist,Monday to Friday,Sainsbury’s DTD,3.5,London
"Lead Technologist, i.AI.",Full-time,Cabinet Office,4.0,London
Machine Learning (ML) Data Automation Engineer,Full-time,Deutsche Bank,3.8,Hybrid remote in Birmingham
SENIOR DATA SCIENTIST,Full-time,DataSpartan Consulting,Nan,London
Data Scientist – Aerospace and Defence,"£38,046 - £41,053 a year",Gentrian,Nan,London
Behavioural Data Scientist | Leading Behavioural Science Consultancy.,"Full-time
+2",Nicholson Glover Consulting,Nan,London
Digital Healthcare NLP and Deep Learning Engineer (Fixed- Term),"£42,875 - £48,691 a year",Bournemouth University,4.2,Poole BH12
DATA SCIENCE ENGINEER,"Full-time
+1",Bangura Solutions,Nan,London
Data & Analytics Senior Manager,Part-time,Canon,3.7,Hybrid remote in Uxbridge
Senior Data Scientist,Full-time,Egencia,3.5,Hybrid remote in London
Data Science Manager,Fixed term contract,ASDA,3.3,Hybrid remote in Leeds LS11
"Research Scientist (Machine Learning), London","Full-time
+1",Isomorphic Labs,Nan,Hybrid remote in London
Senior Researcher in Medical Statistics/Data Science/Epidemiology,Full-time,University of Oxford,4.3,Oxford OX2
Lecturer in Artificial Intelligence and Data Science,"£50,694 - £54,174 a year",University of Wolverhampton,4.1,Wolverhampton
Lecturer / Senior Lecturer in Machine Learning,"Full-time
+2",The University of Manchester,4.3,Hybrid remote in Manchester M13
Senior Data Scientist,"£29,000 - £40,000 a year",Ashdown Group,4.6,Hybrid remote in West London
Data Analyst,Permanent,Oho Group,Nan,London
Senior Data Scientist,£25 a day,Harrington Starr,Nan,London
Data Scientist,Full-time,Haleon,Nan,Brentford
Analytics Manager - Financial Services,"£40,745 - £45,737 a year",QuantSpark,Nan,Hybrid remote in London SE1
"Business Development Manager, Data Science",Full-time,Amey plc,2.7,Manchester
Head of Data Science,"£50,000 - £55,000 a year",Consortia,Nan,London
Senior Data Scientist,Full-time,Experian,3.6,London SW1E
Machine Learning Engineers - UK Wide All Levels,"£39,508 - £47,355 a year",Leonardo,3.9,Hybrid remote in Edinburgh
(Machine Learning) R&D Engineer,"Full-time
+1",Luminance Technologies,Nan,Cambridge
Lead Data Scientist,Permanent,MBN Recruitment Solutions,Nan,Hybrid remote in London
Data Scientist – Pricing Optimisation,"From £65,000 a year",Harnham,4.6,London
Research Fellow in the Mathematics of Deep Learning,Permanent,University College London,4.1,Hybrid remote in London
AVP ( Lead) Data Scientist,Full-time,Chubb INA Holdings Inc.,3.7,London
Senior Decision Scientist,"Full-time
+1",Monzo,3.7,Remote in London
Pricing Data Scientist,"£35,000 - £36,000 a year",Harnham,4.6,London
Applied AI/ML Lead - Capital Connect - London,Permanent,"JPMorgan Chase Bank, N.A.",4.1,London
Machine Learning Engineer,Full-time,Snapchat,3.7,London
Junior Insights Coordinator,"Permanent
+1",Salt Recruitment,3.3,Greater London
Data Scientist - Consultancy,£700 a day,Metrica Recruitment,Nan,London
Senior Data Scientist,"£35,000 - £40,000 a year",WTW,3.6,Hybrid remote in London
Cross Asset Data Scientist / NY / London/ Asia,Full-time,Eka Finance,Nan,London
"Assistant Professor (Lecturer) in Computer Science, Data Science",Permanent,Lancaster University,4.3,Lancaster
Reader/Professor with appointed office role as Head of Department – Applied Artificial Intelligence and Robotics,"£45,000 - £50,000 a year",Aston University,4.4,Birmingham
Research Fellow in Machine Learning (fixed term),Full-time,University of Sussex,4.3,Brighton
Senior Data Scientist,"£35,308 - £43,155 a year",Eames Consulting,4.3,Hybrid remote in London
2x Research Associate Machine Learning & Data Science for Environmental Science,"Full-time
+2",Loughborough University,4.2,Loughborough
Research Associate in Machine Learning,Full-time,University of Edinburgh,4.2,Edinburgh
Senior/Lead Data Scientist,"£73,000 - £117,800 a year",Harnham,4.6,Remote in London
Machine Learning Engineer,"Full-time
+1",Eka Finance,Nan,Remote in London
Lecturer/Senior Lecturer (Artificial Intelligence),Full-time,Manchester Metropolitan University,4.2,Manchester
Head of Data Science,"£60,000 a year",Evri,2.2,Hybrid remote in Morley LS27
Research Associate in Data Science - HartreeNI Project (2 posts),Permanent,University of Ulster,4.2,Derry BT48
"Senior Data Scientist, Web Security","£32,411 - £37,386 a year",Cloudflare,Nan,London
Data Engineer – Data Science,Fixed term contract,Life Arc,Nan,Edinburgh
Data Science Practice Lead,"£84,065 - £103,784 a year",Neueda,Nan,Hybrid remote in Belfast BT5
Biostatistician,"Full-time
+1",University of Oxford TSS,4.3,Headington
Data Science Manager,Full-time,Holland & Barrett,2.8,Hybrid remote in London
"Business Development Manager, Data Science","Full-time
+1",Amey,3.1,London
Machine Learning Signal Construction Quant,"£44,414 - £52,841 a year",Eka Finance,Nan,London
"Machine Learning Engineer, Recommendation - TikTok","£37,474 - £44,737 a year",TikTok,3.4,London
"R&D, AI, Data Science, Computer Vision Software En",Permanent,re&m,Nan,South West
Head of Data Science and AI,"£44,414 - £66,890 a year",Understanding Recruitment,Nan,London
AI Engineer (Remote),Permanent,KLDiscovery,3.6,+1 location
Head of Internal AI programme and Data Science engagement,"£85,000 a year",Department for Transport,3.8,London
Project Engineer – Artificial Intelligence Engineer for robotic developments,Permanent,University of Warwick,3.9,University of Warwick
ML Engineer,"£60,000 - £70,000 a year",Eames Consulting,4.3,London
Natural Language Processing Developer,Permanent,MathWorks,Nan,Hybrid remote in Cambridgeshire
"Lecturer in the Centre of Excellence for Data Science, Artificial Intelligence, and Modelling (DAIM) – AI Ethics - BAND 8","£100,000 - £160,000 a year",University of Hull,4.0,Kingston upon Hull
PhD Vacancy : Physics Informed Machine Learning for Ocean Forecasting,"£77,500 - £88,500 a year",National Physical Laboratory,3.8,Glasgow
Research Software Engineer in computational fluid dynamics and machine learning,"Full-time
+1",Imperial College London,4.2,South Kensington
"Head of Commercial Analytics, Western Europe",Permanent,LEGO,4.2,Hybrid remote in London
Chief Data Scientist,"£115,000 a year",Future Work,Nan,Surrey
Head of Data Science,Permanent,loveholidays,3.0,Hybrid remote in London W6
Data Analytics Lead,Full-time,TradingView,Nan,Remote in London SE1
Customer Data Scientist - Mandarin Speaker,"Up to £100,000 a year",Flexciton,Nan,Hybrid remote in London N1
Reader in Artificial Intelligence,Permanent,University of Wolverhampton,4.1,Wolverhampton
Data Scientist/Engineer – Intermediate/Senior/Principal,"£60,000 - £80,000 a year",Thomas Search,Nan,East Midlands
Manager in Strategy & Data Science - London,Permanent,Ekimetrics,Nan,London
Ecosystems Statistician,"£39,508 - £47,355 a year","Centre for Environment, Fisheries and Aquaculture...",3.9,Weymouth DT4
Project Specialist (AI & Data Science),"Full-time
+1",Cardiff University,4.2,Cardiff
Natural Language Processing (NLP) Researcher,Full-time,Pangaea Data,Nan,London
Lead Data Scientist,"£70,000 - £100,000 a year",Ashdown Group,4.6,Hybrid remote in West London
Senior Data Scientist,"£50,000 - £100,000 a year",Marks Sattin,3.6,Remote in London
"Director, Head of Data Analytics",Permanent,MUFG,3.4,London
Machine Learning Product Manager,"Full-time
+1",LNER,3.9,London
Data Analytics Engineer,Full-time,Harrington Starr,Nan,Hybrid remote in London
Data Scientist Manager (Remote),Up to £23 an hour,Harnham,4.6,Remote in London
Senior Data Scientist,Fixed term contract,Star Actuarial Futures,Nan,Hybrid remote in London
Data Analyst / Date Scientist / Data Mining SAS / SQL – National/ Home based,"£40,000 - £50,000 a year",DCS Credit Management Recruitment and Training DCS...,Nan,Remote in London
Research Associate in Bioprocess Machine Learning and Hybrid Modelling,Full-time,The University of Manchester,4.3,Hybrid remote in Manchester
Research Assistant - Software Developer in Machine Learning,Permanent,Heriot Watt University,4.0,Edinburgh
Senior Data Scientist,Full-time,Oxygen Digital Recruitment,4.8,London
Senior Lecturer in Computer Science & Artificial Intelligence,"£54,421 - £97,869 a year",Kingston University,4.5,Kingston upon Thames
BIG DATA ARCHITECT,Full-time,DataSpartan Consulting,Nan,London
ML Engineer Description,"£44,414 - £52,841 a year",Insilico Medicine,Nan,Remote
"Manager, Data & Analytics, Belfast",Full-time,EY,3.9,Hybrid remote in Belfast BT2
Lead Data Scientist - Part-Time,"£120,000 a year",Admiral,3.0,Cardiff
Data Science Delivery Manager,Permanent,Russell Tobin,Nan,Hybrid remote in London
Machine Learning Engineer,"£33,966 a year",Synthesized,Nan,Remote in London
Data Engineer - Data Science,"Full-time
+1",LifeArc,Nan,Stevenage SG1
Senior Big Data Solutions Architect,Full-time,Databricks,Nan,London
